Date,S&P,AAPL,CSCO,AMZN,MSFT,IBM
2000-11-16,1372.319946,1.357143,51.0625,27.8125,34.46875,98.25
2000-11-17,1367.719971,1.3214290000000002,52.75,27.4375,34.53125,101.9375
2000-11-20,1342.619995,1.3526790000000002,51.25,25.8125,33.59375,103.25
2000-11-21,1347.349976,1.34375,53.6875,24.25,33.875,98.5
2000-11-22,1322.359985,1.3214290000000002,50.5625,25.1875,34.125,98.5
2000-11-24,1341.77002,1.379464,52.6875,28.9375,34.96875,99.9375
2000-11-27,1348.969971,1.3348209999999998,51.25,28.0,35.34375,98.4375
2000-11-28,1336.089966,1.287943,51.0,25.0312,33.5,97.875
2000-11-29,1341.930054,1.254464,51.6875,26.9375,32.53125,99.8125
2000-11-30,1314.949951,1.1785709999999998,47.875,24.6875,28.6875,93.5
2000-12-01,1315.22998,1.21875,48.5,24.625,28.3125,95.625
2000-12-04,1324.969971,1.191964,45.8125,26.5625,28.21875,98.375
2000-12-05,1376.540039,1.214286,52.125,25.375,29.9375,103.375
2000-12-06,1351.459961,1.0223209999999998,51.4375,23.625,28.34375,96.75
2000-12-07,1343.550049,1.0223209999999998,49.9375,21.375,26.5625,93.125
2000-12-08,1369.890015,1.075893,52.375,23.4375,27.21875,97.0
2000-12-11,1380.199951,1.0848209999999998,54.8125,25.3125,29.03125,95.0
2000-12-12,1371.180054,1.098214,54.375,25.875,29.1875,93.875
2000-12-13,1359.98999,1.0714290000000002,51.125,23.75,28.625,91.25
2000-12-14,1340.930054,1.03125,50.9375,22.6875,27.75,92.4375
2000-12-15,1312.150024,1.004464,48.171799,22.875,24.59375,87.8125
2000-12-18,1322.73999,1.017857,42.9375,19.875,23.90625,90.5
2000-12-19,1305.599976,1.0,41.75,18.25,22.40625,90.125
2000-12-20,1264.73999,1.026786,36.5,16.6875,20.75,86.0
2000-12-21,1274.859985,1.004464,38.875,15.1875,21.71875,81.5625
2000-12-22,1305.949951,1.0714290000000002,41.5,15.5625,23.21875,89.0
2000-12-26,1315.189941,1.049107,40.75,16.9375,23.4375,84.8125
2000-12-27,1328.920044,1.058036,40.75,16.875,23.21875,84.6875
2000-12-28,1334.219971,1.058036,39.5625,17.375,22.28125,85.25
2000-12-29,1320.280029,1.0625,38.25,15.5625,21.6875,85.0
2001-01-02,1283.27002,1.0625,33.3125,13.875,21.6875,84.8125
2001-01-03,1347.560059,1.169643,41.3125,17.5625,23.96875,94.625
2001-01-04,1333.339966,1.21875,41.875,15.5,24.21875,93.1875
2001-01-05,1298.349976,1.169643,36.625,14.5625,24.5625,94.0
2001-01-08,1295.859985,1.183036,36.546799,14.9375,24.46875,93.5625
2001-01-09,1300.800049,1.2276790000000002,37.125,16.375,25.90625,92.5625
2001-01-10,1313.27002,1.183036,36.25,16.5,26.4375,93.4375
2001-01-11,1326.819946,1.285714,39.125,17.0,27.5,93.6875
2001-01-12,1318.550049,1.2276790000000002,38.0625,17.6875,26.75,93.8125
2001-01-16,1326.650024,1.223214,38.5,18.0625,26.28125,92.75
2001-01-17,1329.469971,1.200893,39.0,18.375,26.46875,96.6875
2001-01-18,1347.969971,1.3348209999999998,41.875,19.5,27.75,108.3125
2001-01-19,1342.540039,1.392857,40.375,19.9375,30.5,111.25
2001-01-22,1342.900024,1.375,41.4375,18.5,30.0625,108.5625
2001-01-23,1360.400024,1.464286,42.625,18.9531,30.28125,109.0625
2001-01-24,1364.300049,1.464286,42.5625,21.875,31.46875,110.4375
2001-01-25,1357.51001,1.424107,39.3125,19.0,30.90625,110.75
2001-01-26,1354.949951,1.3973209999999998,38.375,19.5,32.0,114.1875
2001-01-29,1364.170044,1.549107,37.25,20.125,32.25,114.980003
2001-01-30,1373.72998,1.5535709999999998,38.0,18.9375,31.6875,116.610001
2001-01-31,1366.01001,1.544643,37.4375,17.3125,30.53125,112.0
2001-02-01,1373.469971,1.5089290000000002,38.25,16.25,31.1875,114.050003
2001-02-02,1349.469971,1.473214,35.5,14.375,30.40625,110.269997
2001-02-05,1354.310059,1.441964,34.5625,14.4375,30.96875,112.220001
2001-02-06,1352.26001,1.5089290000000002,35.75,15.8125,31.28125,114.190002
2001-02-07,1340.890015,1.482143,31.0625,15.0,32.34375,116.910004
2001-02-08,1332.530029,1.482143,30.0,14.375,31.125,114.099998
2001-02-09,1314.76001,1.3660709999999998,28.1875,13.375,29.5625,112.0
2001-02-12,1330.310059,1.40625,29.5625,14.5,29.375,114.900002
2001-02-13,1318.800049,1.3660709999999998,28.5,13.75,29.09375,113.75
2001-02-14,1315.920044,1.392857,29.375,14.4375,29.1875,115.099998
2001-02-15,1326.609985,1.433036,30.8125,14.5,29.40625,116.779999
2001-02-16,1301.530029,1.357143,28.25,13.6875,28.65625,115.0
2001-02-20,1278.939941,1.308036,26.0625,12.5,27.9375,111.5
2001-02-21,1255.27002,1.348214,25.125,11.9375,28.125,107.510002
2001-02-22,1252.819946,1.34375,26.4375,11.9375,27.59375,108.900002
2001-02-23,1245.859985,1.34375,27.0,11.8125,28.375,104.0
2001-02-26,1267.650024,1.392857,26.0625,11.9375,29.78125,105.300003
2001-02-27,1257.939941,1.3839290000000002,24.0,11.75,29.6875,102.589996
2001-02-28,1239.939941,1.3035709999999998,23.6875,10.1875,29.5,99.900002
2001-03-01,1241.22998,1.339286,24.5,10.4375,29.679648999999998,106.050003
2001-03-02,1234.180054,1.375,22.1875,10.0,28.34375,102.300003
2001-03-05,1241.410034,1.455357,23.0781,12.625,28.71875,104.910004
2001-03-06,1253.800049,1.535714,24.0,11.875,29.71875,106.0
2001-03-07,1261.890015,1.517857,24.0,12.25,30.34375,107.550003
2001-03-08,1264.73999,1.486607,22.8125,11.6875,29.625,106.470001
2001-03-09,1233.420044,1.4464290000000002,20.625,12.25,28.34375,99.290001
2001-03-12,1180.160034,1.330357,18.8125,10.625,25.96875,95.489998
2001-03-13,1197.660034,1.3973209999999998,21.375,11.0,27.09375,98.389999
2001-03-14,1166.709961,1.4598209999999998,20.25,10.625,27.0,94.959999
2001-03-15,1173.560059,1.40625,20.3125,10.875,26.84375,95.559998
2001-03-16,1150.530029,1.401786,19.9375,11.0,27.28125,90.099998
2001-03-19,1170.810059,1.46875,20.8125,10.5,27.15625,92.599998
2001-03-20,1142.619995,1.40625,19.0625,10.25,26.34375,88.300003
2001-03-21,1122.140015,1.4375,19.3125,10.0,25.03125,89.08000200000001
2001-03-22,1117.579956,1.544643,19.75,10.1875,27.0,89.099998
2001-03-23,1139.829956,1.642857,18.6875,10.1875,28.28125,93.510002
2001-03-26,1152.689941,1.555714,17.875,10.94,28.03125,95.400002
2001-03-27,1182.170044,1.6335709999999999,18.125,11.64,29.125,99.5
2001-03-28,1153.290039,1.5835709999999998,15.75,10.8,27.78125,94.410004
2001-03-29,1147.949951,1.609286,15.25,10.0,27.6875,95.040001
2001-03-30,1160.329956,1.576429,15.8125,10.23,27.34375,96.18
2001-04-02,1145.869995,1.542143,15.0625,9.1,27.90625,94.660004
2001-04-03,1106.459961,1.445714,13.75,8.63,26.6875,90.389999
2001-04-04,1103.25,1.392857,13.6875,8.4,25.96875,92.0
2001-04-05,1151.439941,1.4907139999999999,14.9375,9.12,28.375,98.209999
2001-04-06,1128.430054,1.4707139999999999,13.625,8.37,28.09375,97.949997
2001-04-09,1137.589966,1.467143,14.49,11.18,28.575001,96.0
2001-04-10,1168.380005,1.574286,15.86,12.01,29.84,99.050003
2001-04-11,1165.890015,1.557143,17.4,13.32,30.02,97.43
2001-04-12,1183.5,1.601429,17.98,14.67,31.09,96.199997
2001-04-16,1179.680054,1.5314290000000002,17.200001,14.03,30.395,96.75
2001-04-17,1191.810059,1.457143,16.66,14.74,30.74,99.699997
2001-04-18,1238.160034,1.6278569999999999,17.93,16.540001,32.715,106.5
2001-04-19,1253.689941,1.837143,18.91,15.99,34.02,114.470001
2001-04-20,1242.97998,1.788571,19.15,15.78,34.5,114.83000200000001
2001-04-23,1224.359985,1.732143,17.33,16.200001,34.125,112.0
2001-04-24,1209.469971,1.716429,16.26,15.68,33.775002,112.66999799999999
2001-04-25,1228.75,1.765714,15.73,16.09,34.845001,114.849998
2001-04-26,1234.52002,1.763571,15.21,15.43,34.564999,113.739998
2001-04-27,1253.050049,1.871429,15.6,15.27,33.560001,116.199997
2001-04-30,1249.459961,1.820714,16.98,15.78,33.875,115.139999
2001-05-01,1266.439941,1.852143,17.799999,16.889999,35.084998999999996,118.510002
2001-05-02,1267.430054,1.899286,20.0,17.110001,34.880001,115.400002
2001-05-03,1248.579956,1.782857,18.66,16.75,34.264998999999996,113.699997
2001-05-04,1266.609985,1.839286,19.639999,17.559998999999998,35.375,115.860001
2001-05-07,1263.51001,1.782857,19.25,16.92,35.689999,115.900002
2001-05-08,1261.199951,1.755,20.379998999999998,16.18,36.029999,117.699997
2001-05-09,1255.540039,1.712857,19.129998999999998,15.01,35.200001,116.980003
2001-05-10,1255.180054,1.642857,18.83,14.62,35.0,115.199997
2001-05-11,1245.670044,1.6321430000000001,19.049999,14.68,34.700001,111.809998
2001-05-14,1248.920044,1.663571,18.57,13.33,34.360001000000004,112.559998
2001-05-15,1249.439941,1.655714,18.74,13.54,34.134997999999996,113.58000200000001
2001-05-16,1284.98999,1.721429,20.0,14.13,34.580002,115.800003
2001-05-17,1288.48999,1.682143,19.860001,14.78,34.084998999999996,115.07
2001-05-18,1291.959961,1.680714,20.200001,14.72,34.044998,117.440002
2001-05-21,1312.829956,1.682857,22.870001000000002,16.379998999999998,34.395,119.040001
2001-05-22,1309.380005,1.6785709999999998,23.48,16.25,35.154999,118.010002
2001-05-23,1289.050049,1.659286,22.360001,15.6,34.849998,117.400002
2001-05-24,1293.170044,1.657143,22.91,16.75,35.860001000000004,119.599998
2001-05-25,1277.890015,1.6257139999999999,22.049999,17.09,35.455002,117.800003
2001-05-29,1267.930054,1.533571,20.459999,17.219998999999998,35.169998,115.269997
2001-05-30,1248.079956,1.412857,19.0,15.66,34.595001,112.650002
2001-05-31,1255.819946,1.425,19.26,16.690001000000002,34.59,111.800003
2001-06-01,1260.670044,1.492143,18.85,16.950001,35.169998,112.889999
2001-06-04,1267.109985,1.475714,19.73,16.91,35.389998999999996,113.639999
2001-06-05,1283.569946,1.495714,21.540001,16.440001000000002,36.299999,116.970001
2001-06-06,1270.030029,1.4807139999999999,20.76,15.99,36.18,117.5
2001-06-07,1276.959961,1.547143,21.82,16.129998999999998,36.84,117.25
2001-06-08,1264.959961,1.522857,20.49,15.7,36.595001,116.099998
2001-06-11,1254.390015,1.431429,20.379998999999998,14.86,36.060001,117.360001
2001-06-12,1255.849976,1.4507139999999998,20.370001000000002,14.64,36.040001000000004,117.25
2001-06-13,1241.599976,1.462143,19.02,14.12,35.345001,116.540001
2001-06-14,1219.869995,1.42,17.74,13.29,34.450001,115.75
2001-06-15,1214.359985,1.46,16.65,12.49,34.009997999999996,113.599998
2001-06-18,1208.430054,1.452143,16.5,11.83,33.439999,114.269997
2001-06-19,1212.579956,1.442143,16.639999,11.36,33.66,114.839996
2001-06-20,1223.140015,1.547857,16.4,12.53,34.705002,113.089996
2001-06-21,1237.040039,1.606429,17.68,13.08,34.919998,112.599998
2001-06-22,1225.349976,1.59,17.52,12.4,34.415001000000004,112.870003
2001-06-25,1218.599976,1.713571,18.51,12.81,34.424999,112.650002
2001-06-26,1216.76001,1.6964290000000002,18.02,13.25,35.07,113.040001
2001-06-27,1211.069946,1.667143,17.93,14.04,35.57,113.519997
2001-06-28,1226.199951,1.681429,18.58,14.36,36.369999,115.099998
2001-06-29,1224.380005,1.660714,18.200001,14.15,36.5,113.5
2001-07-02,1236.719971,1.707143,19.219998999999998,14.53,35.299999,114.349998
